"stand_id";"species";"count";"height_from";"height_to";"age";"min_lif"
25;"PicS";426.5;1.086;1.286;11;0
25;"PicS";426.5;0.734;0.934;11;0
25;"PicS";426.5;0.521;0.721;11;0
25;"PicS";426.5;0.69;0.89;11;0
25;"PicS";426.5;0.314;0.514;11;0
25;"PicS";426.5;0.419;0.619;11;0
25;"PicS";426.5;0.425;0.625;11;0
25;"PicS";426.5;0.667;0.867;11;0
25;"PicS";426.5;0.336;0.536;11;0
25;"PicS";426.5;0.572;0.772;11;0
25;"PicS";426.5;0.565;0.765;11;0
25;"PicS";426.5;0.504;0.704;11;0
25;"PicS";426.5;0.654;0.854;11;0
25;"PicS";426.5;0.911;1.111;11;0
25;"PicS";426.5;0.48;0.68;11;0
25;"PicS";426.5;0.223;0.423;11;0
25;"PicS";426.5;0.3;0.5;11;0
25;"PicS";426.5;0.274;0.474;11;0
25;"PicS";426.5;0.535;0.735;11;0
25;"PicS";426.5;0.09;0.29;11;0
26;"PicS";426.5;0.168;0.368;11;0
26;"PicS";426.5;0.34;0.54;11;0
26;"PicS";426.5;0.313;0.513;11;0
26;"PicS";426.5;0.331;0.531;11;0
26;"PicS";426.5;0.19;0.39;11;0
26;"PicS";426.5;1.086;1.286;11;0
26;"PicS";426.5;0.734;0.934;11;0
26;"PicS";426.5;0.521;0.721;11;0
26;"PicS";426.5;0.69;0.89;11;0
26;"PicS";426.5;0.314;0.514;11;0
26;"PicS";426.5;0.419;0.619;11;0
26;"PicS";426.5;0.425;0.625;11;0
26;"PicS";426.5;0.667;0.867;11;0
26;"PicS";426.5;0.336;0.536;11;0
26;"PicS";426.5;0.572;0.772;11;0
26;"PicS";426.5;0.565;0.765;11;0
26;"PicS";426.5;0.504;0.704;11;0
26;"PicS";426.5;0.654;0.854;11;0
26;"PicS";426.5;0.911;1.111;11;0
26;"PicS";426.5;0.48;0.68;11;0
26;"PicS";426.5;0.223;0.423;11;0
26;"PicS";426.5;0.3;0.5;11;0
26;"PicS";426.5;0.274;0.474;11;0
26;"PicS";426.5;0.535;0.735;11;0
26;"PicS";426.5;0.09;0.29;11;0
27;"PicS";426.5;0.168;0.368;11;0
27;"PicS";426.5;0.34;0.54;11;0
27;"PicS";426.5;0.313;0.513;11;0
27;"PicS";426.5;0.331;0.531;11;0
27;"PicS";426.5;0.19;0.39;11;0
27;"PicS";426.5;1.086;1.286;11;0
27;"PicS";426.5;0.734;0.934;11;0
27;"PicS";426.5;0.521;0.721;11;0
27;"PicS";426.5;0.69;0.89;11;0
27;"PicS";426.5;0.314;0.514;11;0
27;"PicS";426.5;0.419;0.619;11;0
27;"PicS";426.5;0.425;0.625;11;0
27;"PicS";426.5;0.667;0.867;11;0
27;"PicS";426.5;0.336;0.536;11;0
27;"PicS";426.5;0.572;0.772;11;0
27;"PicS";426.5;0.565;0.765;11;0
27;"PicS";426.5;0.504;0.704;11;0
27;"PicS";426.5;0.654;0.854;11;0
27;"PicS";426.5;0.911;1.111;11;0
27;"PicS";426.5;0.48;0.68;11;0
27;"PicS";426.5;0.223;0.423;11;0
27;"PicS";426.5;0.3;0.5;11;0
27;"PicS";426.5;0.274;0.474;11;0
27;"PicS";426.5;0.535;0.735;11;0
27;"PicS";426.5;0.09;0.29;11;0
28;"PicS";426.5;0.168;0.368;11;0
28;"PicS";426.5;0.34;0.54;11;0
28;"PicS";426.5;0.313;0.513;11;0
28;"PicS";426.5;0.331;0.531;11;0
28;"PicS";426.5;0.19;0.39;11;0
28;"PicS";426.5;1.086;1.286;11;0
28;"PicS";426.5;0.734;0.934;11;0
28;"PicS";426.5;0.521;0.721;11;0
28;"PicS";426.5;0.69;0.89;11;0
28;"PicS";426.5;0.314;0.514;11;0
28;"PicS";426.5;0.419;0.619;11;0
28;"PicS";426.5;0.425;0.625;11;0
28;"PicS";426.5;0.667;0.867;11;0
28;"PicS";426.5;0.336;0.536;11;0
28;"PicS";426.5;0.572;0.772;11;0
28;"PicS";426.5;0.565;0.765;11;0
28;"PicS";426.5;0.504;0.704;11;0
28;"PicS";426.5;0.654;0.854;11;0
28;"PicS";426.5;0.911;1.111;11;0
28;"PicS";426.5;0.48;0.68;11;0
28;"PicS";426.5;0.223;0.423;11;0
28;"PicS";426.5;0.3;0.5;11;0
28;"PicS";426.5;0.274;0.474;11;0
28;"PicS";426.5;0.535;0.735;11;0
28;"PicS";426.5;0.09;0.29;11;0
29;"PicS";426.5;0.168;0.368;11;0
29;"PicS";426.5;0.34;0.54;11;0
29;"PicS";426.5;0.313;0.513;11;0
29;"PicS";426.5;0.331;0.531;11;0
29;"PicS";426.5;0.19;0.39;11;0
29;"PicS";426.5;1.086;1.286;11;0
29;"PicS";426.5;0.734;0.934;11;0
29;"PicS";426.5;0.521;0.721;11;0
29;"PicS";426.5;0.69;0.89;11;0
29;"PicS";426.5;0.314;0.514;11;0
29;"PicS";426.5;0.419;0.619;11;0
29;"PicS";426.5;0.425;0.625;11;0
29;"PicS";426.5;0.667;0.867;11;0
29;"PicS";426.5;0.336;0.536;11;0
29;"PicS";426.5;0.572;0.772;11;0
29;"PicS";426.5;0.565;0.765;11;0
29;"PicS";426.5;0.504;0.704;11;0
29;"PicS";426.5;0.654;0.854;11;0
29;"PicS";426.5;0.911;1.111;11;0
29;"PicS";426.5;0.48;0.68;11;0
29;"PicS";426.5;0.223;0.423;11;0
29;"PicS";426.5;0.3;0.5;11;0
29;"PicS";426.5;0.274;0.474;11;0
29;"PicS";426.5;0.535;0.735;11;0
29;"PicS";426.5;0.09;0.29;11;0
30;"PicS";426.5;0.168;0.368;11;0
30;"PicS";426.5;0.34;0.54;11;0
30;"PicS";426.5;0.313;0.513;11;0
30;"PicS";426.5;0.331;0.531;11;0
30;"PicS";426.5;0.19;0.39;11;0
30;"PicS";426.5;1.086;1.286;11;0
30;"PicS";426.5;0.734;0.934;11;0
30;"PicS";426.5;0.521;0.721;11;0
30;"PicS";426.5;0.69;0.89;11;0
30;"PicS";426.5;0.314;0.514;11;0
30;"PicS";426.5;0.419;0.619;11;0
30;"PicS";426.5;0.425;0.625;11;0
30;"PicS";426.5;0.667;0.867;11;0
30;"PicS";426.5;0.336;0.536;11;0
30;"PicS";426.5;0.572;0.772;11;0
30;"PicS";426.5;0.565;0.765;11;0
30;"PicS";426.5;0.504;0.704;11;0
30;"PicS";426.5;0.654;0.854;11;0
30;"PicS";426.5;0.911;1.111;11;0
30;"PicS";426.5;0.48;0.68;11;0
30;"PicS";426.5;0.223;0.423;11;0
30;"PicS";426.5;0.3;0.5;11;0
30;"PicS";426.5;0.274;0.474;11;0
30;"PicS";426.5;0.535;0.735;11;0
30;"PicS";426.5;0.09;0.29;11;0
31;"PicS";426.5;0.168;0.368;11;0
31;"PicS";426.5;0.34;0.54;11;0
31;"PicS";426.5;0.313;0.513;11;0
31;"PicS";426.5;0.331;0.531;11;0
31;"PicS";426.5;0.19;0.39;11;0
31;"PicS";426.5;1.086;1.286;11;0
31;"PicS";426.5;0.734;0.934;11;0
31;"PicS";426.5;0.521;0.721;11;0
31;"PicS";426.5;0.69;0.89;11;0
31;"PicS";426.5;0.314;0.514;11;0
31;"PicS";426.5;0.419;0.619;11;0
31;"PicS";426.5;0.425;0.625;11;0
31;"PicS";426.5;0.667;0.867;11;0
31;"PicS";426.5;0.336;0.536;11;0
31;"PicS";426.5;0.572;0.772;11;0
31;"PicS";426.5;0.565;0.765;11;0
31;"PicS";426.5;0.504;0.704;11;0
31;"PicS";426.5;0.654;0.854;11;0
31;"PicS";426.5;0.911;1.111;11;0
31;"PicS";426.5;0.48;0.68;11;0
31;"PicS";426.5;0.223;0.423;11;0
31;"PicS";426.5;0.3;0.5;11;0
31;"PicS";426.5;0.274;0.474;11;0
31;"PicS";426.5;0.535;0.735;11;0
31;"PicS";426.5;0.09;0.29;11;0
32;"PicS";426.5;0.168;0.368;11;0
32;"PicS";426.5;0.34;0.54;11;0
32;"PicS";426.5;0.313;0.513;11;0
32;"PicS";426.5;0.331;0.531;11;0
32;"PicS";426.5;0.19;0.39;11;0
32;"PicS";426.5;1.086;1.286;11;0
32;"PicS";426.5;0.734;0.934;11;0
32;"PicS";426.5;0.521;0.721;11;0
32;"PicS";426.5;0.69;0.89;11;0
32;"PicS";426.5;0.314;0.514;11;0
32;"PicS";426.5;0.419;0.619;11;0
32;"PicS";426.5;0.425;0.625;11;0
32;"PicS";426.5;0.667;0.867;11;0
32;"PicS";426.5;0.336;0.536;11;0
32;"PicS";426.5;0.572;0.772;11;0
32;"PicS";426.5;0.565;0.765;11;0
32;"PicS";426.5;0.504;0.704;11;0
32;"PicS";426.5;0.654;0.854;11;0
32;"PicS";426.5;0.911;1.111;11;0
32;"PicS";426.5;0.48;0.68;11;0
32;"PicS";426.5;0.223;0.423;11;0
32;"PicS";426.5;0.3;0.5;11;0
32;"PicS";426.5;0.274;0.474;11;0
32;"PicS";426.5;0.535;0.735;11;0
32;"PicS";426.5;0.09;0.29;11;0
33;"PicS";426.5;0.168;0.368;11;0
33;"PicS";426.5;0.34;0.54;11;0
33;"PicS";426.5;0.313;0.513;11;0
33;"PicS";426.5;0.331;0.531;11;0
33;"PicS";426.5;0.19;0.39;11;0
33;"PicS";426.5;1.086;1.286;11;0
33;"PicS";426.5;0.734;0.934;11;0
33;"PicS";426.5;0.521;0.721;11;0
33;"PicS";426.5;0.69;0.89;11;0
33;"PicS";426.5;0.314;0.514;11;0
33;"PicS";426.5;0.419;0.619;11;0
33;"PicS";426.5;0.425;0.625;11;0
33;"PicS";426.5;0.667;0.867;11;0
33;"PicS";426.5;0.336;0.536;11;0
33;"PicS";426.5;0.572;0.772;11;0
33;"PicS";426.5;0.565;0.765;11;0
33;"PicS";426.5;0.504;0.704;11;0
33;"PicS";426.5;0.654;0.854;11;0
33;"PicS";426.5;0.911;1.111;11;0
33;"PicS";426.5;0.48;0.68;11;0
33;"PicS";426.5;0.223;0.423;11;0
33;"PicS";426.5;0.3;0.5;11;0
33;"PicS";426.5;0.274;0.474;11;0
33;"PicS";426.5;0.535;0.735;11;0
33;"PicS";426.5;0.09;0.29;11;0
34;"PicS";426.5;0.168;0.368;11;0
34;"PicS";426.5;0.34;0.54;11;0
34;"PicS";426.5;0.313;0.513;11;0
34;"PicS";426.5;0.331;0.531;11;0
34;"PicS";426.5;0.19;0.39;11;0
34;"PicS";426.5;1.086;1.286;11;0
34;"PicS";426.5;0.734;0.934;11;0
34;"PicS";426.5;0.521;0.721;11;0
34;"PicS";426.5;0.69;0.89;11;0
34;"PicS";426.5;0.314;0.514;11;0
34;"PicS";426.5;0.419;0.619;11;0
34;"PicS";426.5;0.425;0.625;11;0
34;"PicS";426.5;0.667;0.867;11;0
34;"PicS";426.5;0.336;0.536;11;0
34;"PicS";426.5;0.572;0.772;11;0
34;"PicS";426.5;0.565;0.765;11;0
34;"PicS";426.5;0.504;0.704;11;0
34;"PicS";426.5;0.654;0.854;11;0
34;"PicS";426.5;0.911;1.111;11;0
34;"PicS";426.5;0.48;0.68;11;0
34;"PicS";426.5;0.223;0.423;11;0
34;"PicS";426.5;0.3;0.5;11;0
34;"PicS";426.5;0.274;0.474;11;0
34;"PicS";426.5;0.535;0.735;11;0
34;"PicS";426.5;0.09;0.29;11;0
35;"PicS";426.5;0.168;0.368;11;0
35;"PicS";426.5;0.34;0.54;11;0
35;"PicS";426.5;0.313;0.513;11;0
35;"PicS";426.5;0.331;0.531;11;0
35;"PicS";426.5;0.19;0.39;11;0
35;"PicS";426.5;1.086;1.286;11;0
35;"PicS";426.5;0.734;0.934;11;0
35;"PicS";426.5;0.521;0.721;11;0
35;"PicS";426.5;0.69;0.89;11;0
35;"PicS";426.5;0.314;0.514;11;0
35;"PicS";426.5;0.419;0.619;11;0
35;"PicS";426.5;0.425;0.625;11;0
35;"PicS";426.5;0.667;0.867;11;0
35;"PicS";426.5;0.336;0.536;11;0
35;"PicS";426.5;0.572;0.772;11;0
35;"PicS";426.5;0.565;0.765;11;0
35;"PicS";426.5;0.504;0.704;11;0
35;"PicS";426.5;0.654;0.854;11;0
35;"PicS";426.5;0.911;1.111;11;0
35;"PicS";426.5;0.48;0.68;11;0
35;"PicS";426.5;0.223;0.423;11;0
35;"PicS";426.5;0.3;0.5;11;0
35;"PicS";426.5;0.274;0.474;11;0
35;"PicS";426.5;0.535;0.735;11;0
35;"PicS";426.5;0.09;0.29;11;0
36;"PicS";426.5;0.168;0.368;11;0
36;"PicS";426.5;0.34;0.54;11;0
36;"PicS";426.5;0.313;0.513;11;0
36;"PicS";426.5;0.331;0.531;11;0
36;"PicS";426.5;0.19;0.39;11;0
36;"PicS";426.5;1.086;1.286;11;0
36;"PicS";426.5;0.734;0.934;11;0
36;"PicS";426.5;0.521;0.721;11;0
36;"PicS";426.5;0.69;0.89;11;0
36;"PicS";426.5;0.314;0.514;11;0
36;"PicS";426.5;0.419;0.619;11;0
36;"PicS";426.5;0.425;0.625;11;0
36;"PicS";426.5;0.667;0.867;11;0
36;"PicS";426.5;0.336;0.536;11;0
36;"PicS";426.5;0.572;0.772;11;0
36;"PicS";426.5;0.565;0.765;11;0
36;"PicS";426.5;0.504;0.704;11;0
36;"PicS";426.5;0.654;0.854;11;0
36;"PicS";426.5;0.911;1.111;11;0
36;"PicS";426.5;0.48;0.68;11;0
36;"PicS";426.5;0.223;0.423;11;0
36;"PicS";426.5;0.3;0.5;11;0
36;"PicS";426.5;0.274;0.474;11;0
36;"PicS";426.5;0.535;0.735;11;0
36;"PicS";426.5;0.09;0.29;11;0
37;"PicS";426.5;0.168;0.368;11;0
37;"PicS";426.5;0.34;0.54;11;0
37;"PicS";426.5;0.313;0.513;11;0
37;"PicS";426.5;0.331;0.531;11;0
37;"PicS";426.5;0.19;0.39;11;0
37;"PicS";426.5;1.086;1.286;11;0
37;"PicS";426.5;0.734;0.934;11;0
37;"PicS";426.5;0.521;0.721;11;0
37;"PicS";426.5;0.69;0.89;11;0
37;"PicS";426.5;0.314;0.514;11;0
37;"PicS";426.5;0.419;0.619;11;0
37;"PicS";426.5;0.425;0.625;11;0
37;"PicS";426.5;0.667;0.867;11;0
37;"PicS";426.5;0.336;0.536;11;0
37;"PicS";426.5;0.572;0.772;11;0
37;"PicS";426.5;0.565;0.765;11;0
37;"PicS";426.5;0.504;0.704;11;0
37;"PicS";426.5;0.654;0.854;11;0
37;"PicS";426.5;0.911;1.111;11;0
37;"PicS";426.5;0.48;0.68;11;0
37;"PicS";426.5;0.223;0.423;11;0
37;"PicS";426.5;0.3;0.5;11;0
37;"PicS";426.5;0.274;0.474;11;0
37;"PicS";426.5;0.535;0.735;11;0
37;"PicS";426.5;0.09;0.29;11;0
38;"PicS";426.5;0.168;0.368;11;0
38;"PicS";426.5;0.34;0.54;11;0
38;"PicS";426.5;0.313;0.513;11;0
38;"PicS";426.5;0.331;0.531;11;0
38;"PicS";426.5;0.19;0.39;11;0
38;"PicS";426.5;1.086;1.286;11;0
38;"PicS";426.5;0.734;0.934;11;0
38;"PicS";426.5;0.521;0.721;11;0
38;"PicS";426.5;0.69;0.89;11;0
38;"PicS";426.5;0.314;0.514;11;0
38;"PicS";426.5;0.419;0.619;11;0
38;"PicS";426.5;0.425;0.625;11;0
38;"PicS";426.5;0.667;0.867;11;0
38;"PicS";426.5;0.336;0.536;11;0
38;"PicS";426.5;0.572;0.772;11;0
38;"PicS";426.5;0.565;0.765;11;0
38;"PicS";426.5;0.504;0.704;11;0
38;"PicS";426.5;0.654;0.854;11;0
38;"PicS";426.5;0.911;1.111;11;0
38;"PicS";426.5;0.48;0.68;11;0
38;"PicS";426.5;0.223;0.423;11;0
38;"PicS";426.5;0.3;0.5;11;0
38;"PicS";426.5;0.274;0.474;11;0
38;"PicS";426.5;0.535;0.735;11;0
38;"PicS";426.5;0.09;0.29;11;0
39;"PicS";426.5;0.168;0.368;11;0
39;"PicS";426.5;0.34;0.54;11;0
39;"PicS";426.5;0.313;0.513;11;0
39;"PicS";426.5;0.331;0.531;11;0
39;"PicS";426.5;0.19;0.39;11;0
39;"PicS";426.5;1.086;1.286;11;0
39;"PicS";426.5;0.734;0.934;11;0
39;"PicS";426.5;0.521;0.721;11;0
39;"PicS";426.5;0.69;0.89;11;0
39;"PicS";426.5;0.314;0.514;11;0
39;"PicS";426.5;0.419;0.619;11;0
39;"PicS";426.5;0.425;0.625;11;0
39;"PicS";426.5;0.667;0.867;11;0
39;"PicS";426.5;0.336;0.536;11;0
39;"PicS";426.5;0.572;0.772;11;0
39;"PicS";426.5;0.565;0.765;11;0
39;"PicS";426.5;0.504;0.704;11;0
39;"PicS";426.5;0.654;0.854;11;0
39;"PicS";426.5;0.911;1.111;11;0
39;"PicS";426.5;0.48;0.68;11;0
39;"PicS";426.5;0.223;0.423;11;0
39;"PicS";426.5;0.3;0.5;11;0
39;"PicS";426.5;0.274;0.474;11;0
39;"PicS";426.5;0.535;0.735;11;0
39;"PicS";426.5;0.09;0.29;11;0
40;"PicS";426.5;0.168;0.368;11;0
40;"PicS";426.5;0.34;0.54;11;0
40;"PicS";426.5;0.313;0.513;11;0
40;"PicS";426.5;0.331;0.531;11;0
40;"PicS";426.5;0.19;0.39;11;0
40;"PicS";426.5;1.086;1.286;11;0
40;"PicS";426.5;0.734;0.934;11;0
40;"PicS";426.5;0.521;0.721;11;0
40;"PicS";426.5;0.69;0.89;11;0
40;"PicS";426.5;0.314;0.514;11;0
40;"PicS";426.5;0.419;0.619;11;0
40;"PicS";426.5;0.425;0.625;11;0
40;"PicS";426.5;0.667;0.867;11;0
40;"PicS";426.5;0.336;0.536;11;0
40;"PicS";426.5;0.572;0.772;11;0
40;"PicS";426.5;0.565;0.765;11;0
40;"PicS";426.5;0.504;0.704;11;0
40;"PicS";426.5;0.654;0.854;11;0
40;"PicS";426.5;0.911;1.111;11;0
40;"PicS";426.5;0.48;0.68;11;0
40;"PicS";426.5;0.223;0.423;11;0
40;"PicS";426.5;0.3;0.5;11;0
40;"PicS";426.5;0.274;0.474;11;0
40;"PicS";426.5;0.535;0.735;11;0
40;"PicS";426.5;0.09;0.29;11;0
41;"PicS";426.5;0.168;0.368;11;0
41;"PicS";426.5;0.34;0.54;11;0
41;"PicS";426.5;0.313;0.513;11;0
41;"PicS";426.5;0.331;0.531;11;0
41;"PicS";426.5;0.19;0.39;11;0
41;"PicS";426.5;1.086;1.286;11;0
41;"PicS";426.5;0.734;0.934;11;0
41;"PicS";426.5;0.521;0.721;11;0
41;"PicS";426.5;0.69;0.89;11;0
41;"PicS";426.5;0.314;0.514;11;0
41;"PicS";426.5;0.419;0.619;11;0
41;"PicS";426.5;0.425;0.625;11;0
41;"PicS";426.5;0.667;0.867;11;0
41;"PicS";426.5;0.336;0.536;11;0
41;"PicS";426.5;0.572;0.772;11;0
41;"PicS";426.5;0.565;0.765;11;0
41;"PicS";426.5;0.504;0.704;11;0
41;"PicS";426.5;0.654;0.854;11;0
41;"PicS";426.5;0.911;1.111;11;0
41;"PicS";426.5;0.48;0.68;11;0
41;"PicS";426.5;0.223;0.423;11;0
41;"PicS";426.5;0.3;0.5;11;0
41;"PicS";426.5;0.274;0.474;11;0
41;"PicS";426.5;0.535;0.735;11;0
41;"PicS";426.5;0.09;0.29;11;0
42;"PicS";426.5;0.168;0.368;11;0
42;"PicS";426.5;0.34;0.54;11;0
42;"PicS";426.5;0.313;0.513;11;0
42;"PicS";426.5;0.331;0.531;11;0
42;"PicS";426.5;0.19;0.39;11;0
42;"PicS";426.5;1.086;1.286;11;0
42;"PicS";426.5;0.734;0.934;11;0
42;"PicS";426.5;0.521;0.721;11;0
42;"PicS";426.5;0.69;0.89;11;0
42;"PicS";426.5;0.314;0.514;11;0
42;"PicS";426.5;0.419;0.619;11;0
42;"PicS";426.5;0.425;0.625;11;0
42;"PicS";426.5;0.667;0.867;11;0
42;"PicS";426.5;0.336;0.536;11;0
42;"PicS";426.5;0.572;0.772;11;0
42;"PicS";426.5;0.565;0.765;11;0
42;"PicS";426.5;0.504;0.704;11;0
42;"PicS";426.5;0.654;0.854;11;0
42;"PicS";426.5;0.911;1.111;11;0
42;"PicS";426.5;0.48;0.68;11;0
42;"PicS";426.5;0.223;0.423;11;0
42;"PicS";426.5;0.3;0.5;11;0
42;"PicS";426.5;0.274;0.474;11;0
42;"PicS";426.5;0.535;0.735;11;0
42;"PicS";426.5;0.09;0.29;11;0
43;"PicS";426.5;0.168;0.368;11;0
43;"PicS";426.5;0.34;0.54;11;0
43;"PicS";426.5;0.313;0.513;11;0
43;"PicS";426.5;0.331;0.531;11;0
43;"PicS";426.5;0.19;0.39;11;0
43;"PicS";426.5;1.086;1.286;11;0
43;"PicS";426.5;0.734;0.934;11;0
43;"PicS";426.5;0.521;0.721;11;0
43;"PicS";426.5;0.69;0.89;11;0
43;"PicS";426.5;0.314;0.514;11;0
43;"PicS";426.5;0.419;0.619;11;0
43;"PicS";426.5;0.425;0.625;11;0
43;"PicS";426.5;0.667;0.867;11;0
43;"PicS";426.5;0.336;0.536;11;0
43;"PicS";426.5;0.572;0.772;11;0
43;"PicS";426.5;0.565;0.765;11;0
43;"PicS";426.5;0.504;0.704;11;0
43;"PicS";426.5;0.654;0.854;11;0
43;"PicS";426.5;0.911;1.111;11;0
43;"PicS";426.5;0.48;0.68;11;0
43;"PicS";426.5;0.223;0.423;11;0
43;"PicS";426.5;0.3;0.5;11;0
43;"PicS";426.5;0.274;0.474;11;0
43;"PicS";426.5;0.535;0.735;11;0
43;"PicS";426.5;0.09;0.29;11;0
44;"PicS";426.5;0.168;0.368;11;0
44;"PicS";426.5;0.34;0.54;11;0
44;"PicS";426.5;0.313;0.513;11;0
44;"PicS";426.5;0.331;0.531;11;0
44;"PicS";426.5;0.19;0.39;11;0
44;"PicS";426.5;1.086;1.286;11;0
44;"PicS";426.5;0.734;0.934;11;0
44;"PicS";426.5;0.521;0.721;11;0
44;"PicS";426.5;0.69;0.89;11;0
44;"PicS";426.5;0.314;0.514;11;0
44;"PicS";426.5;0.419;0.619;11;0
44;"PicS";426.5;0.425;0.625;11;0
44;"PicS";426.5;0.667;0.867;11;0
44;"PicS";426.5;0.336;0.536;11;0
44;"PicS";426.5;0.572;0.772;11;0
44;"PicS";426.5;0.565;0.765;11;0
44;"PicS";426.5;0.504;0.704;11;0
44;"PicS";426.5;0.654;0.854;11;0
44;"PicS";426.5;0.911;1.111;11;0
44;"PicS";426.5;0.48;0.68;11;0
44;"PicS";426.5;0.223;0.423;11;0
44;"PicS";426.5;0.3;0.5;11;0
44;"PicS";426.5;0.274;0.474;11;0
44;"PicS";426.5;0.535;0.735;11;0
44;"PicS";426.5;0.09;0.29;11;0
45;"PicS";426.5;0.168;0.368;11;0
45;"PicS";426.5;0.34;0.54;11;0
45;"PicS";426.5;0.313;0.513;11;0
45;"PicS";426.5;0.331;0.531;11;0
45;"PicS";426.5;0.19;0.39;11;0
45;"PicS";426.5;1.086;1.286;11;0
45;"PicS";426.5;0.734;0.934;11;0
45;"PicS";426.5;0.521;0.721;11;0
45;"PicS";426.5;0.69;0.89;11;0
45;"PicS";426.5;0.314;0.514;11;0
45;"PicS";426.5;0.419;0.619;11;0
45;"PicS";426.5;0.425;0.625;11;0
45;"PicS";426.5;0.667;0.867;11;0
45;"PicS";426.5;0.336;0.536;11;0
45;"PicS";426.5;0.572;0.772;11;0
45;"PicS";426.5;0.565;0.765;11;0
45;"PicS";426.5;0.504;0.704;11;0
45;"PicS";426.5;0.654;0.854;11;0
45;"PicS";426.5;0.911;1.111;11;0
45;"PicS";426.5;0.48;0.68;11;0
45;"PicS";426.5;0.223;0.423;11;0
45;"PicS";426.5;0.3;0.5;11;0
45;"PicS";426.5;0.274;0.474;11;0
45;"PicS";426.5;0.535;0.735;11;0
45;"PicS";426.5;0.09;0.29;11;0
46;"PicS";426.5;0.168;0.368;11;0
46;"PicS";426.5;0.34;0.54;11;0
46;"PicS";426.5;0.313;0.513;11;0
46;"PicS";426.5;0.331;0.531;11;0
46;"PicS";426.5;0.19;0.39;11;0
46;"PicS";426.5;1.086;1.286;11;0
46;"PicS";426.5;0.734;0.934;11;0
46;"PicS";426.5;0.521;0.721;11;0
46;"PicS";426.5;0.69;0.89;11;0
46;"PicS";426.5;0.314;0.514;11;0
46;"PicS";426.5;0.419;0.619;11;0
46;"PicS";426.5;0.425;0.625;11;0
46;"PicS";426.5;0.667;0.867;11;0
46;"PicS";426.5;0.336;0.536;11;0
46;"PicS";426.5;0.572;0.772;11;0
46;"PicS";426.5;0.565;0.765;11;0
46;"PicS";426.5;0.504;0.704;11;0
46;"PicS";426.5;0.654;0.854;11;0
46;"PicS";426.5;0.911;1.111;11;0
46;"PicS";426.5;0.48;0.68;11;0
46;"PicS";426.5;0.223;0.423;11;0
46;"PicS";426.5;0.3;0.5;11;0
46;"PicS";426.5;0.274;0.474;11;0
46;"PicS";426.5;0.535;0.735;11;0
46;"PicS";426.5;0.09;0.29;11;0
47;"PicS";426.5;0.168;0.368;11;0
47;"PicS";426.5;0.34;0.54;11;0
47;"PicS";426.5;0.313;0.513;11;0
47;"PicS";426.5;0.331;0.531;11;0
47;"PicS";426.5;0.19;0.39;11;0
47;"PicS";426.5;1.086;1.286;11;0
47;"PicS";426.5;0.734;0.934;11;0
47;"PicS";426.5;0.521;0.721;11;0
47;"PicS";426.5;0.69;0.89;11;0
47;"PicS";426.5;0.314;0.514;11;0
47;"PicS";426.5;0.419;0.619;11;0
47;"PicS";426.5;0.425;0.625;11;0
47;"PicS";426.5;0.667;0.867;11;0
47;"PicS";426.5;0.336;0.536;11;0
47;"PicS";426.5;0.572;0.772;11;0
47;"PicS";426.5;0.565;0.765;11;0
47;"PicS";426.5;0.504;0.704;11;0
47;"PicS";426.5;0.654;0.854;11;0
47;"PicS";426.5;0.911;1.111;11;0
47;"PicS";426.5;0.48;0.68;11;0
47;"PicS";426.5;0.223;0.423;11;0
47;"PicS";426.5;0.3;0.5;11;0
47;"PicS";426.5;0.274;0.474;11;0
47;"PicS";426.5;0.535;0.735;11;0
47;"PicS";426.5;0.09;0.29;11;0
48;"PicS";426.5;0.168;0.368;11;0
48;"PicS";426.5;0.34;0.54;11;0
48;"PicS";426.5;0.313;0.513;11;0
48;"PicS";426.5;0.331;0.531;11;0
48;"PicS";426.5;0.19;0.39;11;0
48;"PicS";426.5;1.086;1.286;11;0
48;"PicS";426.5;0.734;0.934;11;0
48;"PicS";426.5;0.521;0.721;11;0
48;"PicS";426.5;0.69;0.89;11;0
48;"PicS";426.5;0.314;0.514;11;0
48;"PicS";426.5;0.419;0.619;11;0
48;"PicS";426.5;0.425;0.625;11;0
48;"PicS";426.5;0.667;0.867;11;0
48;"PicS";426.5;0.336;0.536;11;0
48;"PicS";426.5;0.572;0.772;11;0
48;"PicS";426.5;0.565;0.765;11;0
48;"PicS";426.5;0.504;0.704;11;0
48;"PicS";426.5;0.654;0.854;11;0
48;"PicS";426.5;0.911;1.111;11;0
48;"PicS";426.5;0.48;0.68;11;0
48;"PicS";426.5;0.223;0.423;11;0
48;"PicS";426.5;0.3;0.5;11;0
48;"PicS";426.5;0.274;0.474;11;0
48;"PicS";426.5;0.535;0.735;11;0
48;"PicS";426.5;0.09;0.29;11;0
49;"PicS";426.5;0.168;0.368;11;0
49;"PicS";426.5;0.34;0.54;11;0
49;"PicS";426.5;0.313;0.513;11;0
49;"PicS";426.5;0.331;0.531;11;0
49;"PicS";426.5;0.19;0.39;11;0
49;"PicS";426.5;1.086;1.286;11;0
49;"PicS";426.5;0.734;0.934;11;0
49;"PicS";426.5;0.521;0.721;11;0
49;"PicS";426.5;0.69;0.89;11;0
49;"PicS";426.5;0.314;0.514;11;0
49;"PicS";426.5;0.419;0.619;11;0
49;"PicS";426.5;0.425;0.625;11;0
